country,date,experiment_id,order_id,spend_usd,user_bucket,user_id,vertical
JP,4/1/17,12624549,3.98E+18,6.455542,14,6.74E+18,GAMES
JP,4/1/17,12624549,1.33E+19,3.227771,14,6.74E+18,GAMES
JP,4/1/17,12624549,8.78E+18,3.227771,14,6.74E+18,GAMES
,,12624549,,0,13,8.67E+18,
,,12624549,,0,14,1.94E+18,
,,12624548,,0,16,9.44E+18,
,,12624548,,0,20,1.72E+19,
,,12624548,,0,16,1.75E+19,
,,12624548,,0,19,1.84E+19,
,,12624549,,0,6,1.00E+19,
,,12624548,,0,13,1.50E+19,
,,12624549,,0,12,8.27E+18,
,,12624549,,0,12,1.53E+19,
,,12624548,,0,12,9.26E+18,
,,12624549,,0,14,1.65E+19,
,,12624548,,0,6,1.77E+19,
,,12624548,,0,5,1.68E+19,
,,12624548,,0,14,9.10E+18,
,,12624549,,0,15,6.88E+18,
,,12624548,,0,1,1.72E+19,
,,12624548,,0,19,1.78E+19,
,,12624548,,0,14,4.07E+17,
,,12624548,,0,18,1.75E+19,
,,12624549,,0,1,1.59E+19,
,,12624548,,0,11,1.34E+19,
,,12624549,,0,16,5.20E+18,
,,12624548,,0,5,4.37E+18,
,,12624548,,0,19,9.92E+18,
,,12624549,,0,12,6.77E+18,
US,4/6/17,12624548,1.65E+19,0.99,14,9.65E+18,GAMES
,,12624549,,0,9,3.44E+18,
,,12624549,,0,18,1.62E+19,
,,12624549,,0,14,1.77E+19,
,,12624549,,0,17,7.22E+18,
,,12624549,,0,15,1.82E+18,
,,12624548,,0,8,7.50E+18,
,,12624548,,0,2,2.63E+18,
,,12624549,,0,13,1.80E+19,
,,12624549,,0,15,1.49E+19,
,,12624549,,0,7,5.19E+18,
,,12624548,,0,10,2.56E+18,
,,12624548,,0,18,1.49E+19,
,,12624548,,0,9,1.49E+19,
,,12624548,,0,10,1.31E+19,
,,12624548,,0,4,3.55E+18,
,,12624548,,0,5,3.03E+18,
,,12624549,,0,4,3.25E+18,
,,12624548,,0,7,2.09E+18,
,,12624548,,0,2,1.27E+19,
,,12624548,,0,19,8.79E+18,
,,12624548,,0,19,1.65E+19,
,,12624548,,0,14,2.03E+18,
GB,4/7/17,12624549,3.55E+18,2.467122,18,1.69E+18,GAMES
GB,4/6/17,12624549,1.33E+19,2.481801,18,1.69E+18,GAMES
,,12624548,,0,9,1.72E+19,
,,12624548,,0,20,1.80E+19,
,,12624548,,0,10,1.79E+19,
,,12624548,,0,11,1.13E+19,
,,12624549,,0,6,1.38E+19,
,,12624549,,0,18,3.86E+18,
,,12624548,,0,4,1.01E+19,
,,12624548,,0,1,1.51E+19,
,,12624549,,0,4,1.40E+19,
,,12624548,,0,5,2.35E+18,
,,12624548,,0,4,1.92E+18,
,,12624549,,0,7,1.63E+19,
,,12624549,,0,6,1.05E+19,
,,12624548,,0,19,1.81E+19,
,,12624549,,0,2,1.68E+19,
,,12624548,,0,18,1.98E+18,
,,12624548,,0,20,1.76E+19,
,,12624548,,0,2,1.03E+19,
,,12624549,,0,17,9.21E+18,
,,12624549,,0,2,1.31E+18,
,,12624549,,0,14,4.57E+18,
,,12624548,,0,18,1.22E+19,
,,12624549,,0,5,1.64E+19,
,,12624548,,0,19,6.20E+18,
,,12624549,,0,10,1.10E+19,
,,12624549,,0,2,1.30E+19,
,,12624549,,0,13,1.51E+19,
,,12624548,,0,7,1.80E+19,
,,12624549,,0,2,1.26E+19,
,,12624548,,0,12,9.12E+18,
,,12624548,,0,6,1.78E+19,
,,12624548,,0,11,1.17E+19,
,,12624548,,0,5,1.58E+19,
,,12624548,,0,13,7.85E+18,
,,12624548,,0,17,1.33E+19,
,,12624548,,0,14,1.33E+18,
,,12624549,,0,5,1.16E+19,
